mag_stratum,days_before,mean,median,p025,p975,p25,p75,n
M>=5.0,0,0.3932375849196405,0.3936102390289306,0.3723294250667095,0.4120549224317074,0.3883157968521118,0.3976080566644668,66
M>=5.0,1,0.3930116151609728,0.3940916657447815,0.3769583575427532,0.4080270230770111,0.3858048617839813,0.3985459208488464,62
M>=5.0,2,0.39494659241877106,0.3936102390289306,0.3734887838363647,0.4084709286689758,0.3858945965766907,0.4062800705432892,57
M>=5.0,3,0.3937179297208786,0.3919289261102676,0.3741917759180069,0.4106431305408478,0.38677535951137537,0.4025883972644806,56
M>=5.0,4,0.3959944282398849,0.3927744328975677,0.37727354466915125,0.4188753217458725,0.3876532912254333,0.407435804605484,61
M>=5.0,5,0.39284737018438487,0.3892312943935394,0.3748571097850799,0.4106431305408478,0.3866910934448242,0.4002228677272796,65
M>=5.0,6,0.3929812307541187,0.392414927482605,0.3728147149085998,0.4115055501461029,0.3889816105365753,0.3987809419631958,65
M>=5.0,7,0.3935962978933678,0.392414927482605,0.376489594578743,0.41831086575984955,0.3889816105365753,0.3976487219333648,61
M>=5.0,8,0.39135341070316454,0.3924708515405655,0.37292638197541234,0.407435804605484,0.3850546106696129,0.3976487219333648,54
M>=5.0,9,0.39307427565966335,0.3927071392536163,0.3762187063694,0.41149985045194626,0.38509352505207056,0.4013709947466849,56
M>=5.0,10,0.39396230800677157,0.3927071392536163,0.3757109940052032,0.41186943948268884,0.3856179714202881,0.40634916722774506,59
M>=5.0,11,0.3938917258093434,0.3916142731904983,0.37799290940165514,0.41092024445533754,0.38829158991575236,0.4020450562238693,62
M>=5.0,12,0.39192280894325626,0.3898053914308548,0.37228189110755916,0.4144079089164734,0.3845220655202865,0.3970641791820526,62
M>=5.0,13,0.38838364472312314,0.3888578414916992,0.3710047662258148,0.4114463612437248,0.3800889998674392,0.39228504896163935,62
M>=5.0,14,0.39364525387364047,0.392861396074295,0.3786883182823658,0.41862796023488047,0.3834471404552459,0.40681567788124084,62
M>=5.5,0,0.3901734560728073,0.3887735456228256,0.3707780778408051,0.4080270230770111,0.3836085796356201,0.39752672612667084,20
M>=5.5,1,0.3964255382032955,0.3966668546199798,0.375999629497528,0.4080270230770111,0.392414927482605,0.4062800705432892,17
M>=5.5,2,0.3933704476803541,0.3905114680528641,0.38334533199667925,0.4074237383902073,0.3872136175632476,0.39897700399160385,16
M>=5.5,3,0.3956401182545556,0.394917294383049,0.3756248727440834,0.4106431305408478,0.3876532912254333,0.40776369720697403,18
M>=5.5,4,0.39370235635174644,0.38936200737953186,0.3822931252419948,0.4106431305408478,0.3879853710532188,0.396390900015831,18
M>=5.5,5,0.39124319404363633,0.3895558565855026,0.3760368421673774,0.4089001603424549,0.3876532912254333,0.39286248385906214,20
M>=5.5,6,0.39657010287046435,0.39482763409614563,0.38052444979548455,0.4133918583393097,0.3916843757033348,0.4014506116509437,20
M>=5.5,7,0.3914441582229402,0.3911476731300354,0.37329875901341436,0.40817327424883837,0.385942243039608,0.3976487219333648,18
M>=5.5,8,0.3924622852355242,0.3924708515405655,0.3793308958411217,0.4056180268526077,0.38804587721824646,0.39752672612667084,16
M>=5.5,9,0.39692276245669317,0.3976487219333648,0.37769097089767456,0.41232474297285077,0.3927071392536163,0.40484485030174255,19
M>=5.5,10,0.39410260144402,0.3894927203655243,0.37781121730804446,0.41143423318862915,0.3858048617839813,0.4069737195968628,17
M>=5.5,11,0.39395838662197713,0.3905214071273803,0.37763386666774745,0.40738549977540967,0.3894927203655243,0.40449802577495575,19
M>=5.5,12,0.39186291475045054,0.3898804187774658,0.3733197942376137,0.4136839807033539,0.38269042968749994,0.4003113657236099,19
M>=5.5,13,0.3897050148562381,0.3894927203655243,0.3758916646242142,0.41704749315977097,0.3794991672039032,0.39347653090953827,19
M>=5.5,14,0.39411105921393946,0.3898804187774658,0.38005407750606535,0.4087668657302856,0.38591577112674713,0.4062611758708954,19
M>=6.0,0,0.39082056283950806,0.3911536484956741,0.3710859455168247,0.40672973543405533,0.3885446712374687,0.3965055420994758,6
M>=6.0,1,0.3961730897426605,0.39564304053783417,0.38590693026781075,0.407340332865715,0.3906560093164444,0.40116012096405024,4
M>=6.0,2,0.3893356800079345,0.3876532912254333,0.3834574580192565,0.39715456366539,0.3854310810565948,0.3927071392536163,5
M>=6.0,3,0.3991218268871307,0.4068918526172638,0.38386775553226465,0.4102761894464493,0.3876532912254333,0.4069737195968628,5
M>=6.0,4,0.39558492104212445,0.3935391008853912,0.3892639726400375,0.4089457616209984,0.3902963250875473,0.396390900015831,6
M>=6.0,5,0.39066551625728607,0.3895558565855026,0.3803851976990699,0.40515387058258057,0.38672877103090286,0.3917813003063202,6
M>=6.0,6,0.3924448937177658,0.39095382392406464,0.37957243993878365,0.41189317032694817,0.383837528526783,0.39634027332067484,6
M>=6.0,7,0.3962172091007233,0.3958084285259247,0.3890714913606644,0.4076550513505935,0.3898804187774658,0.3976487219333648,5
M>=6.0,8,0.385324627161026,0.3866910934448242,0.3792586922645569,0.39228617250919334,0.3794949948787689,0.3884974718093872,5
M>=6.0,9,0.3981323440869649,0.3980550020933151,0.3852951861917972,0.40854272246360773,0.3928788602352142,0.4059092849493027,6
M>=6.0,10,0.3964652597904205,0.3894927203655243,0.3835087776184082,0.41366448998451233,0.3884974718093872,0.4069737195968628,5
M>=6.0,11,0.3967233180999756,0.3940916657447815,0.38953149020671846,0.40696382224559785,0.3898804187774658,0.4027159810066223,5
M>=6.0,12,0.3885464549064636,0.3829928040504455,0.37652007937431337,0.41195515990257264,0.3792324364185333,0.3898804187774658,5
M>=6.0,13,0.3890044927597046,0.3831655979156494,0.3792857825756073,0.40729934573173515,0.379765897989273,0.3940916657447815,5
M>=6.0,14,0.3915620565414429,0.3884974718093872,0.38304591774940483,0.4072930991649627,0.383523941040039,0.3940292000770569,5
